DataYear|DistrictCouNum|DistrictCountyName|districtNumber|districtType|DistrictName|schoolNumber|SchoolName|ECSUNumber|EconomicDevelopmentRegion|Grade|K12Enr|FreeK12|RedK12|LEPIdentifiedK12|LEPServedK12|SPEK12|PK12Enr|FreePK12|RedPK12|LEPIdentifiedPK12|LEPServedPK12|SPEPK12|SchoolLocationCountyNumber|SchoolLocationCountyName|MinMaxGrade|SchoolClassification
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |001|WRENSHALL ELEMENTARY               |03|03|04|22|12|5|||4|22|12|5|||4|09|Carlton                                      |PK-06|10
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |001|WRENSHALL ELEMENTARY               |03|03|05|18|8|3|||4|18|8|3|||4|09|Carlton                                      |PK-06|10
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |001|WRENSHALL ELEMENTARY               |03|03|06|31|8|2|||6|31|8|2|||6|09|Carlton                                      |PK-06|10
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |001|WRENSHALL ELEMENTARY               |03|03|All Grades|141|55|21|||24|143|55|21|||26|09|Carlton                                      |PK-06|10
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |002|WRENSHALL SECONDARY                |03|03|07|25|7|4|||3|25|7|4|||3|09|Carlton                                      |07-12|33
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |002|WRENSHALL SECONDARY                |03|03|08|22|8|4|||2|22|8|4|||2|09|Carlton                                      |07-12|33
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |002|WRENSHALL SECONDARY                |03|03|09|32|14|1|||8|32|14|1|||8|09|Carlton                                      |07-12|33
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |002|WRENSHALL SECONDARY                |03|03|10|47|14|5|||7|47|14|5|||7|09|Carlton                                      |07-12|33
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |002|WRENSHALL SECONDARY                |03|03|11|28|11|1|||3|28|11|1|||3|09|Carlton                                      |07-12|33
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |002|WRENSHALL SECONDARY                |03|03|12|26|9|3|||10|26|9|3|||10|09|Carlton                                      |07-12|33
12-13|09|Carlton                                      |0100|01|WRENSHALL PUBLIC SCHOOL DISTRICT   |002|WRENSHALL SECONDARY                |03|03|All Grades|180|63|18|||33|180|63|18|||33|09|Carlton                                      |07-12|33
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |020|CENTRAL SENIOR HIGH                |11|11|09|96|20|7|3||11|96|20|7|3||11|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |020|CENTRAL SENIOR HIGH                |11|11|10|65|17|2|||6|65|17|2|||6|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |020|CENTRAL SENIOR HIGH                |11|11|11|107|14|7|2||10|107|14|7|2||10|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |020|CENTRAL SENIOR HIGH                |11|11|12|73|12|6|1||12|73|12|6|1||12|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |020|CENTRAL SENIOR HIGH                |11|11|All Grades|341|63|22|6||39|341|63|22|6||39|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |030|CENTRAL MIDDLE                     |11|11|06|61|11|2|1||8|61|11|2|1||8|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |030|CENTRAL MIDDLE                     |11|11|07|81|18|5|||8|81|18|5|||8|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |030|CENTRAL MIDDLE                     |11|11|08|64|10|4|1||7|64|10|4|1||7|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |030|CENTRAL MIDDLE                     |11|11|All Grades|206|39|11|2||23|206|39|11|2||23|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |040|CENTRAL ELEMENTARY                 |11|11|PK|||||||32|6|1|||32|10|Carver                                       |PK-05|10
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |040|CENTRAL ELEMENTARY                 |11|11|KG|91|23||2||10|91|23||2||10|10|Carver                                       |PK-05|10
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |040|CENTRAL ELEMENTARY                 |11|11|01|68|19|5|2||10|68|19|5|2||10|10|Carver                                       |PK-05|10
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |040|CENTRAL ELEMENTARY                 |11|11|02|78|16|3|2||11|78|16|3|2||11|10|Carver                                       |PK-05|10
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |040|CENTRAL ELEMENTARY                 |11|11|03|66|6|3|2||6|66|6|3|2||6|10|Carver                                       |PK-05|10
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |040|CENTRAL ELEMENTARY                 |11|11|04|66|7|4|||10|66|7|4|||10|10|Carver                                       |PK-05|10
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |040|CENTRAL ELEMENTARY                 |11|11|05|73|19|3|||9|73|19|3|||9|10|Carver                                       |PK-05|10
12-13|10|Carver                                       |0108|01|CENTRAL PUBLIC SCHOOL DISTRICT     |040|CENTRAL ELEMENTARY                 |11|11|All Grades|442|90|18|8||56|474|96|19|8||88|10|Carver                                       |PK-05|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |110|SOUTHVIEW ELEMENTARY               |11|11|KG|108|8|3|||8|108|8|3|||8|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |110|SOUTHVIEW ELEMENTARY               |11|11|01|147|12|5|||6|147|12|5|||6|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |110|SOUTHVIEW ELEMENTARY               |11|11|02|123|9|6|2||14|123|9|6|2||14|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |110|SOUTHVIEW ELEMENTARY               |11|11|03|143|12|5|2|2|14|143|12|5|2|2|14|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |110|SOUTHVIEW ELEMENTARY               |11|11|04|117|11|6|2||9|117|11|6|2||9|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |110|SOUTHVIEW ELEMENTARY               |11|11|All Grades|638|52|25|6|2|51|638|52|25|6|2|51|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |115|EARLY CHILDHOOD SPECIAL EDUCATION  |11|11|PK|||||||45|8||||45|10|Carver                                       |PK-PK|50
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |115|EARLY CHILDHOOD SPECIAL EDUCATION  |11|11|All Grades|||||||45|8||||45|10|Carver                                       |PK-PK|50
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |120|BAYVIEW ELEMENTARY                 |11|11|KG|151|18|8|4|3|16|151|18|8|4|3|16|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |120|BAYVIEW ELEMENTARY                 |11|11|01|139|11|7|3|3|23|139|11|7|3|3|23|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |120|BAYVIEW ELEMENTARY                 |11|11|02|141|15|7|2|2|26|141|15|7|2|2|26|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |120|BAYVIEW ELEMENTARY                 |11|11|03|118|10|6|4|4|14|118|10|6|4|4|14|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |120|BAYVIEW ELEMENTARY                 |11|11|04|145|11|12|5|5|18|145|11|12|5|5|18|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |120|BAYVIEW ELEMENTARY                 |11|11|All Grades|694|65|40|18|17|97|694|65|40|18|17|97|10|Carver                                       |KG-04|10
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |220|CLEARWATER MIDDLE                  |11|11|05|288|17|13|5|5|38|288|17|13|5|5|38|10|Carver                                       |05-08|20
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |220|CLEARWATER MIDDLE                  |11|11|06|298|27|13|4|3|34|298|27|13|4|3|34|10|Carver                                       |05-08|20
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |220|CLEARWATER MIDDLE                  |11|11|07|252|21|12|6|6|22|252|21|12|6|6|22|10|Carver                                       |05-08|20
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |220|CLEARWATER MIDDLE                  |11|11|08|261|17|9|2|2|27|261|17|9|2|2|27|10|Carver                                       |05-08|20
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |220|CLEARWATER MIDDLE                  |11|11|All Grades|1099|82|47|17|16|121|1099|82|47|17|16|121|10|Carver                                       |05-08|20
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |310|WACONIA SENIOR HIGH                |11|11|09|294|25|11|2|2|32|294|25|11|2|2|32|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |310|WACONIA SENIOR HIGH                |11|11|10|260|13|9|1||28|260|13|9|1||28|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |310|WACONIA SENIOR HIGH                |11|11|11|262|15|11|1||31|262|15|11|1||31|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |310|WACONIA SENIOR HIGH                |11|11|12|260|7|11|||29|260|7|11|||29|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |310|WACONIA SENIOR HIGH                |11|11|All Grades|1076|60|42|4|2|120|1076|60|42|4|2|120|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |315|TRANSITIONS 110                    |11|11|12|8|2|1|||8|8|2|1|||8|10|Carver                                       |12-12|50
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |315|TRANSITIONS 110                    |11|11|All Grades|8|2|1|||8|8|2|1|||8|10|Carver                                       |12-12|50
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |601|WACONIA ALTERNATIVE LEARNING CENTER|11|11|09|1||1||||1||1||||10|Carver                                       |09-12|41
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |601|WACONIA ALTERNATIVE LEARNING CENTER|11|11|10|1||||||1||||||10|Carver                                       |09-12|41
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |601|WACONIA ALTERNATIVE LEARNING CENTER|11|11|11|4|1|1|||1|4|1|1|||1|10|Carver                                       |09-12|41
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |601|WACONIA ALTERNATIVE LEARNING CENTER|11|11|12|30|11||||8|30|11||||8|10|Carver                                       |09-12|41
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |601|WACONIA ALTERNATIVE LEARNING CENTER|11|11|All Grades|36|12|2|||9|36|12|2|||9|10|Carver                                       |09-12|41
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |602|WACONIA AREA LEARNING CENTER SS/AS |11|11|11|2|2|||||2|2|||||10|Carver                                       |11-12|41
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |602|WACONIA AREA LEARNING CENTER SS/AS |11|11|12|6|2||||1|6|2||||1|10|Carver                                       |11-12|41
12-13|10|Carver                                       |0110|01|WACONIA PUBLIC SCHOOL DISTRICT     |602|WACONIA AREA LEARNING CENTER SS/AS |11|11|All Grades|8|4||||1|8|4||||1|10|Carver                                       |11-12|41
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|837|WATERTOWN-MAYER PRIMARY SCHOOL     |11|11|PK|||||||44|5|6|||44|10|Carver                                       |PK-KG|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|837|WATERTOWN-MAYER PRIMARY SCHOOL     |11|11|KG|118|22|16|1||20|118|22|16|1||20|10|Carver                                       |PK-KG|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|837|WATERTOWN-MAYER PRIMARY SCHOOL     |11|11|All Grades|118|22|16|1||20|162|27|22|1||64|10|Carver                                       |PK-KG|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|839|WATERTOWN-MAYER ELEMENTARY SCHOOL  |11|11|01|122|18|10|1||14|122|18|10|1||14|10|Carver                                       |01-05|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|839|WATERTOWN-MAYER ELEMENTARY SCHOOL  |11|11|02|130|19|15|1|1|12|130|19|15|1|1|12|10|Carver                                       |01-05|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|839|WATERTOWN-MAYER ELEMENTARY SCHOOL  |11|11|03|117|21|11|1|1|12|117|21|11|1|1|12|10|Carver                                       |01-05|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|839|WATERTOWN-MAYER ELEMENTARY SCHOOL  |11|11|04|117|16|13|1|1|16|117|16|13|1|1|16|10|Carver                                       |01-05|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|839|WATERTOWN-MAYER ELEMENTARY SCHOOL  |11|11|05|140|24|12|4|4|19|140|24|12|4|4|19|10|Carver                                       |01-05|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|839|WATERTOWN-MAYER ELEMENTARY SCHOOL  |11|11|All Grades|626|98|61|8|7|73|626|98|61|8|7|73|10|Carver                                       |01-05|10
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|841|WATERTOWN-MAYER MIDDLE             |11|11|06|120|18|13|||27|120|18|13|||27|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|841|WATERTOWN-MAYER MIDDLE             |11|11|07|134|15|11|1|1|19|134|15|11|1|1|19|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|841|WATERTOWN-MAYER MIDDLE             |11|11|08|108|9|8|||15|108|9|8|||15|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|841|WATERTOWN-MAYER MIDDLE             |11|11|All Grades|362|42|32|1|1|61|362|42|32|1|1|61|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|842|WATERTOWN MAYER HIGH               |11|11|09|110|16|13|||12|110|16|13|||12|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|842|WATERTOWN MAYER HIGH               |11|11|10|116|14|8|1|1|20|116|14|8|1|1|20|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|842|WATERTOWN MAYER HIGH               |11|11|11|103|10|5|1|1|11|103|10|5|1|1|11|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|842|WATERTOWN MAYER HIGH               |11|11|12|131|8|11|1|1|16|131|8|11|1|1|16|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0111|01|WATERTOWN-MAYER PUBLIC SCHOOL DIST.|842|WATERTOWN MAYER HIGH               |11|11|All Grades|460|48|37|3|3|59|460|48|37|3|3|59|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|060|CHASKA HIGH SCHOOL                 |11|11|09|348|79|19|22|21|36|348|79|19|22|21|36|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|060|CHASKA HIGH SCHOOL                 |11|11|10|359|63|19|5|5|35|359|63|19|5|5|35|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|060|CHASKA HIGH SCHOOL                 |11|11|11|301|66|10|7|7|24|301|66|10|7|7|24|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|060|CHASKA HIGH SCHOOL                 |11|11|12|271|38|12|3|3|20|271|38|12|3|3|20|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|060|CHASKA HIGH SCHOOL                 |11|11|All Grades|1279|246|60|37|36|115|1279|246|60|37|36|115|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|061|CHASKA MIDDLE SCHOOL EAST          |11|11|06|260|44|15|18|17|30|260|44|15|18|17|30|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|061|CHASKA MIDDLE SCHOOL EAST          |11|11|07|235|27|8|7|7|15|235|27|8|7|7|15|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|061|CHASKA MIDDLE SCHOOL EAST          |11|11|08|247|36|6|6|6|20|247|36|6|6|6|20|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|061|CHASKA MIDDLE SCHOOL EAST          |11|11|All Grades|742|107|29|31|30|65|742|107|29|31|30|65|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|062|CHASKA MIDDLE SCHOOL WEST          |11|11|06|264|30|7|11|11|32|264|30|7|11|11|32|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|062|CHASKA MIDDLE SCHOOL WEST          |11|11|07|245|31|14|10|9|25|245|31|14|10|9|25|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|062|CHASKA MIDDLE SCHOOL WEST          |11|11|08|278|27|13|7|6|28|278|27|13|7|6|28|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|062|CHASKA MIDDLE SCHOOL WEST          |11|11|All Grades|787|88|34|28|26|85|787|88|34|28|26|85|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|063|PIONEER RIDGE MIDDLE SCHOOL        |11|11|06|217|32|16|12|12|27|217|32|16|12|12|27|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|063|PIONEER RIDGE MIDDLE SCHOOL        |11|11|07|229|34|8|12|11|36|229|34|8|12|11|36|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|063|PIONEER RIDGE MIDDLE SCHOOL        |11|11|08|232|38|13|7|6|25|232|38|13|7|6|25|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|063|PIONEER RIDGE MIDDLE SCHOOL        |11|11|All Grades|678|104|37|31|29|88|678|104|37|31|29|88|10|Carver                                       |06-08|20
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|064|CHANHASSEN HIGH SCHOOL             |11|11|09|410|22|10|5|4|30|410|22|10|5|4|30|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|064|CHANHASSEN HIGH SCHOOL             |11|11|10|414|16|17|5|5|30|414|16|17|5|5|30|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|064|CHANHASSEN HIGH SCHOOL             |11|11|11|379|21|8|1|1|29|379|21|8|1|1|29|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|064|CHANHASSEN HIGH SCHOOL             |11|11|12|373|25|4|2|2|27|373|25|4|2|2|27|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|064|CHANHASSEN HIGH SCHOOL             |11|11|All Grades|1576|84|39|13|12|116|1576|84|39|13|12|116|10|Carver                                       |09-12|32
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|065|INTEGRATED ARTS ACADEMY            |11|11|09|5|||||2|5|||||2|10|Carver                                       |09-12|41
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|065|INTEGRATED ARTS ACADEMY            |11|11|10|13|4||2|2|1|13|4||2|2|1|10|Carver                                       |09-12|41
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|065|INTEGRATED ARTS ACADEMY            |11|11|11|27|7||2|2|9|27|7||2|2|9|10|Carver                                       |09-12|41
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|065|INTEGRATED ARTS ACADEMY            |11|11|12|28|4||1|1|11|28|4||1|1|11|10|Carver                                       |09-12|41
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|065|INTEGRATED ARTS ACADEMY            |11|11|All Grades|73|15||5|5|23|73|15||5|5|23|10|Carver                                       |09-12|41
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|069|STEPS TOWARD ADULT RESPONSIBILITY  |11|11|12|18|2||||18|18|2||||18|10|Carver                                       |12-12|50
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|069|STEPS TOWARD ADULT RESPONSIBILITY  |11|11|All Grades|18|2||||18|18|2||||18|10|Carver                                       |12-12|50
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|501|LA ACADEMIA                        |11|11|KG|50|14|7|17|17|2|50|14|7|17|17|2|10|Carver                                       |KG-01|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|501|LA ACADEMIA                        |11|11|01|40|9|2|11|11|2|40|9|2|11|11|2|10|Carver                                       |KG-01|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|501|LA ACADEMIA                        |11|11|All Grades|90|23|9|28|28|4|90|23|9|28|28|4|10|Carver                                       |KG-01|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|505|CHASKA ELEMENTARY                  |11|11|KG|42|11|5|6|6|4|42|11|5|6|6|4|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|505|CHASKA ELEMENTARY                  |11|11|01|94|29|5|11|11|22|94|29|5|11|11|22|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|505|CHASKA ELEMENTARY                  |11|11|02|85|30|4|17|17|8|85|30|4|17|17|8|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|505|CHASKA ELEMENTARY                  |11|11|03|86|24|7|8|8|8|86|24|7|8|8|8|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|505|CHASKA ELEMENTARY                  |11|11|04|79|25|7|11|11|8|79|25|7|11|11|8|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|505|CHASKA ELEMENTARY                  |11|11|05|86|23|5|12|11|9|86|23|5|12|11|9|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|505|CHASKA ELEMENTARY                  |11|11|All Grades|472|142|33|65|64|59|472|142|33|65|64|59|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|506|CHANHASSEN ELEMENTARY              |11|11|KG|46|5|1|4|4|6|46|5|1|4|4|6|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|506|CHANHASSEN ELEMENTARY              |11|11|01|61|10|4|9|9|2|61|10|4|9|9|2|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|506|CHANHASSEN ELEMENTARY              |11|11|02|85|16||12|12|11|85|16||12|12|11|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|506|CHANHASSEN ELEMENTARY              |11|11|03|84|11|3|6|6|6|84|11|3|6|6|6|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|506|CHANHASSEN ELEMENTARY              |11|11|04|78|9|8|5|5|19|78|9|8|5|5|19|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|506|CHANHASSEN ELEMENTARY              |11|11|05|99|7|2|5|5|11|99|7|2|5|5|11|10|Carver                                       |KG-05|10
12-13|10|Carver                                       |0112|01|EASTERN CARVER COUNTY PUBLIC SCHOOL|506|CHANHASSEN ELEMENTARY              |11|11|All Grades|453|58|18|41|41|55|453|58|18|41|41|55|10|Carver                                       |KG-05|10
