DataYear|DistrictCountyNumber|DistrictCountyName|districtNumber|districtType|DistrictName|schoolNumber|SchoolName|ECSUNumber|EconomicDevelopmentRegion|Grade|AMI_Male|AMI_Female|API_Male|API_Female|HIS_Male|HIS_Female|BLK_Male|BLK_Female|WHT_Male|WHT_Female|TotalMale|TotalFemale|TotalMinority|TotalStudents|Entity|MinMaxGrade|SchoolLocationCountyNumber|SchoolLocationCountyName|SchoolClassification
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |155|PILLSBURY ELEMENTARY               |11|11|All Grades|15|12|6|6|71|76|136|106|77|72|305|272|428|577|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |156|PRATT ELEMENTARY                   |11|11|PK|1|0|0|0|1|1|9|3|7|3|18|7|15|25|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |156|PRATT ELEMENTARY                   |11|11|KG|1|1|2|3|1|0|17|12|4|4|25|20|37|45|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |156|PRATT ELEMENTARY                   |11|11|01|0|1|1|1|0|0|18|17|11|4|30|23|38|53|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |156|PRATT ELEMENTARY                   |11|11|02|2|4|0|1|1|1|12|13|3|5|18|24|34|42|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |156|PRATT ELEMENTARY                   |11|11|03|1|0|0|2|1|0|9|4|3|3|14|9|17|23|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |156|PRATT ELEMENTARY                   |11|11|04|2|0|0|0|1|0|10|12|1|0|14|12|25|26|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |156|PRATT ELEMENTARY                   |11|11|05|0|4|1|2|0|0|6|8|1|5|8|19|21|27|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |156|PRATT ELEMENTARY                   |11|11|All Grades|7|10|4|9|5|2|81|69|30|24|127|114|187|241|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|KG|2|0|2|3|0|1|25|23|20|25|49|52|56|101|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|01|3|1|6|2|1|2|19|25|17|29|46|59|59|105|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|02|1|2|1|2|1|0|24|17|27|31|54|52|48|106|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|03|2|0|1|5|3|2|18|22|21|18|45|47|53|92|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|04|2|2|5|2|2|2|24|19|23|16|56|41|58|97|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|05|2|3|2|1|1|2|19|19|27|23|51|48|49|99|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|06|0|1|1|6|1|6|25|17|21|17|48|47|57|95|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|07|2|2|6|5|1|2|19|17|21|24|49|50|54|99|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|08|3|1|6|4|3|3|14|15|22|22|48|45|49|93|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |160|SEWARD ELEMENTARY                  |11|11|All Grades|17|12|30|30|13|20|187|174|199|205|446|441|483|887|School|KG-08|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |161|SHERIDAN ELEMENTARY                |11|11|PK|0|0|0|0|0|0|1|0|0|1|1|1|1|2|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |161|SHERIDAN ELEMENTARY                |11|11|KG|4|2|4|4|1|0|41|36|19|12|69|54|92|123|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |161|SHERIDAN ELEMENTARY                |11|11|01|2|2|1|5|6|3|27|26|8|8|44|44|72|88|School|PK-05|27|Hennepin                                     |10
12-13|27|Hennepin                                     |0001|03|MINNEAPOLIS PUBLIC SCHOOL DIST.    |161|SHERIDAN ELEMENTARY                |11|11|02|1|7|2|4|3|4|27|17|9|7|42|39|65|81|School|PK-05|27|Hennepin                                     |10
